opponent_name,champ_masteryi
lee sin,50.16
graves,48.22
hecarim,49.23
diana,49.10
viego,48.49
xin zhao,51.44
kayn,50.90
shaco,43.36
ekko,47.96
nidalee,50.15
rammus,44.76
nocturne,45.43
kindred,50.65
kha'zix,45.61
zac,44.96
jarvan iv,52.74
warwick,46.29
vi,45.27
elise,42.59
rek'sai,45.85
poppy,47.03
nunu & willump,51.54
zed,53.68
trundle,47.10
fiddlesticks,46.23
talon,49.74
evelynn,50.39
amumu,47.35
sejuani,47.83
volibear,46.77
shyvana,46.84
udyr,44.39
gwen,60.50
karthus,54.37
lillia,52.94
taliyah,54.17
gragas,46.56
rengar,52.55
olaf,50.00
ivern,51.30
qiyana,58.46
