opponent_name,champ_trundle
lee sin,52.19
hecarim,52.34
graves,50.69
diana,54.00
viego,52.68
xin zhao,53.81
master yi,52.90
kayn,48.09
ekko,49.74
zac,51.94
poppy,50.71
kindred,46.51
nidalee,50.18
shaco,48.02
nocturne,45.95
jarvan iv,49.69
nunu & willump,54.45
rammus,56.71
kha'zix,48.50
warwick,49.61
rek'sai,48.53
vi,48.14
elise,49.17
zed,51.84
sejuani,45.52
volibear,53.55
fiddlesticks,48.74
talon,49.74
amumu,55.03
shyvana,52.46
evelynn,46.11
udyr,47.33
gwen,55.94
lillia,47.37
karthus,50.51
olaf,56.84
taliyah,54.22
gragas,59.38
rengar,42.86
