opponent_name,champ_akali
ahri,46.75
sylas,48.28
yone,50.56
yasuo,52.57
leblanc,49.90
zed,51.44
vex,47.23
irelia,50.49
viktor,50.04
talon,45.17
katarina,48.74
ryze,53.04
veigar,43.69
twisted fate,48.01
lissandra,45.47
fizz,52.08
akshan,43.22
anivia,45.53
zoe,49.26
lux,49.74
galio,45.79
kassadin,45.52
syndra,50.18
malzahar,43.80
xerath,49.57
corki,47.44
ekko,51.62
vladimir,46.29
orianna,51.75
qiyana,51.38
diana,46.35
cassiopeia,47.74
azir,51.03
neeko,47.24
sion,45.80
pantheon,48.95
lucian,51.60
malphite,51.36
annie,46.13
renekton,50.14
zeri,47.62
nunu & willump,48.04
rumble,47.27
zilean,44.55
garen,48.44
sett,52.05
cho'gath,51.26
aurelion sol,49.33
singed,39.66
