opponent_name,champ_leona
blitzcrank,50.48
nautilus,50.12
thresh,51.95
karma,50.98
lux,51.24
lulu,51.16
yuumi,54.82
alistar,48.79
morgana,47.40
xerath,50.12
pyke,51.53
senna,50.73
renata glasc,51.86
soraka,50.02
zyra,47.43
rakan,49.07
zilean,46.55
maokai,49.93
nami,52.75
janna,48.18
brand,47.68
braum,49.07
shaco,44.92
pantheon,54.69
swain,48.51
seraphine,54.28
tahm kench,51.36
vel'koz,50.57
rell,50.39
galio,52.39
sona,46.98
bard,54.75
sett,55.50
veigar,53.15
neeko,46.28
zac,54.29
shen,49.26
taric,53.52
gragas,55.44
amumu,52.79
anivia,46.15
