opponent_name,champ_maokai
karma,55.18
blitzcrank,48.70
lux,49.66
nautilus,49.39
yuumi,53.34
thresh,52.26
leona,50.07
lulu,50.51
xerath,49.84
pyke,55.78
morgana,52.37
alistar,51.20
senna,53.35
renata glasc,53.49
soraka,51.88
zilean,53.56
zyra,50.34
nami,54.01
rakan,58.24
shaco,51.83
brand,51.04
pantheon,57.14
braum,46.19
janna,51.80
tahm kench,52.86
swain,49.05
sona,47.14
seraphine,54.36
rell,45.30
bard,46.89
vel'koz,51.52
galio,52.70
veigar,58.73
sett,57.14
neeko,57.63
zac,54.95
taric,53.75
amumu,52.56
shen,48.05
anivia,59.21
gragas,52.31
