opponent_name,champ_morgana
blitzcrank,46.97
lux,48.06
nautilus,48.54
karma,48.09
leona,52.60
thresh,53.51
lulu,48.19
yuumi,48.19
xerath,46.81
pyke,49.62
senna,48.14
alistar,50.78
renata glasc,51.57
soraka,47.30
zyra,42.20
zilean,45.31
nami,48.75
maokai,47.63
brand,47.90
rakan,50.85
swain,51.40
shaco,43.13
pantheon,51.50
seraphine,49.66
vel'koz,50.79
sona,46.44
janna,47.15
veigar,55.58
bard,49.27
galio,53.14
rell,49.18
tahm kench,48.74
braum,47.97
neeko,47.80
zac,48.38
sett,46.49
amumu,50.00
anivia,50.00
shen,52.23
taric,42.98
gragas,47.83
