opponent_name,champ_soraka
karma,52.22
yuumi,49.37
lux,50.45
lulu,52.75
blitzcrank,49.10
nautilus,48.21
thresh,53.98
leona,49.98
xerath,51.53
pyke,51.96
senna,50.97
morgana,52.70
renata glasc,52.65
alistar,52.39
zyra,48.19
nami,50.51
zilean,51.51
brand,49.26
rakan,54.89
maokai,48.12
sona,50.82
shaco,55.56
pantheon,51.05
seraphine,56.17
swain,50.67
vel'koz,47.38
janna,49.86
bard,49.56
tahm kench,51.35
rell,43.82
veigar,55.66
braum,53.66
galio,57.43
neeko,52.08
zac,48.65
sett,51.61
amumu,52.31
shen,47.27
anivia,47.62
taric,48.10
gragas,62.03
