opponent_name,champ_gnar
jayce,50.42
irelia,44.65
aatrox,46.65
tryndamere,50.76
fiora,48.84
darius,49.34
akali,49.56
yone,51.00
renekton,53.81
malphite,46.29
garen,49.86
sett,50.94
gangplank,51.68
graves,53.44
sylas,46.54
teemo,48.39
camille,48.17
riven,50.21
vayne,49.65
shen,50.54
nasus,46.27
jax,51.57
gragas,47.80
kennen,51.27
gwen,55.27
sion,45.85
illaoi,48.90
volibear,54.02
yasuo,48.70
tahm kench,45.97
ornn,43.83
poppy,48.00
viktor,48.28
mordekaiser,46.42
yorick,46.72
ryze,56.00
rumble,49.12
trundle,51.45
kayle,49.31
quinn,44.37
urgot,49.12
wukong,51.08
kled,49.45
dr. mundo,45.32
vladimir,53.30
akshan,51.67
rengar,45.96
lucian,50.00
warwick,49.21
master yi,54.37
singed,52.20
heimerdinger,48.67
zac,43.62
cassiopeia,49.15
sejuani,39.47
cho'gath,51.35
maokai,52.17
pantheon,56.47
