opponent_name,champ_jax
tryndamere,49.84
irelia,51.19
jayce,47.99
fiora,46.51
yone,51.56
garen,44.28
akali,45.88
darius,48.25
aatrox,50.07
malphite,44.60
sett,49.00
renekton,50.26
camille,46.98
graves,51.24
gangplank,50.98
riven,44.81
gragas,46.35
teemo,47.02
shen,43.18
gwen,54.88
vayne,46.52
gnar,48.43
kennen,42.98
yorick,50.68
nasus,44.56
illaoi,44.42
poppy,44.44
trundle,50.57
mordekaiser,51.61
sylas,50.90
ornn,44.29
volibear,51.29
kayle,51.08
sion,46.73
ryze,53.33
tahm kench,45.87
rengar,51.48
yasuo,53.95
kled,52.76
master yi,57.79
viktor,48.99
quinn,49.27
rumble,51.63
vladimir,43.15
wukong,49.47
urgot,48.04
warwick,48.06
dr. mundo,45.38
singed,44.54
akshan,53.50
zac,44.94
maokai,45.40
heimerdinger,42.50
lucian,48.37
cho'gath,46.81
cassiopeia,45.45
sejuani,43.33
pantheon,49.06
