opponent_name,champ_kled
jayce,53.87
tryndamere,53.29
akali,56.18
irelia,48.71
darius,52.68
aatrox,51.92
yone,52.99
sett,52.48
fiora,46.44
renekton,53.81
garen,50.00
camille,45.90
jax,47.24
malphite,47.89
riven,53.68
shen,48.92
gangplank,53.75
vayne,47.95
graves,52.25
gnar,50.55
teemo,47.70
gwen,52.89
gragas,47.69
mordekaiser,45.45
illaoi,49.49
nasus,46.94
kennen,43.01
sion,58.62
tahm kench,49.03
kayle,49.35
volibear,57.14
poppy,54.67
trundle,48.97
sylas,50.00
ornn,52.24
rumble,52.76
yorick,50.39
viktor,52.80
quinn,47.01
warwick,56.88
vladimir,53.06
yasuo,56.12
dr. mundo,50.52
wukong,50.52
ryze,53.13
rengar,58.24
urgot,50.56
akshan,52.38
lucian,41.67
singed,43.64
sejuani,50.91
master yi,66.67
cho'gath,54.00
heimerdinger,36.00
