opponent_name,champ_monkeyking
jayce,54.73
darius,51.60
fiora,52.62
irelia,50.00
aatrox,49.37
tryndamere,46.91
garen,41.68
akali,50.40
yone,47.85
malphite,44.90
sett,45.31
renekton,53.89
graves,52.13
gangplank,47.69
riven,51.09
jax,50.53
gnar,48.92
vayne,53.68
teemo,46.18
camille,46.31
shen,44.23
gragas,51.76
mordekaiser,42.35
illaoi,49.23
gwen,58.15
nasus,56.14
trundle,55.41
sylas,54.84
kennen,51.33
volibear,45.45
sion,44.09
viktor,43.48
ryze,53.91
rumble,51.75
tahm kench,48.25
ornn,50.00
poppy,53.15
kayle,48.57
yasuo,57.28
kled,49.48
yorick,50.00
warwick,40.43
quinn,43.53
urgot,54.76
rengar,53.16
akshan,58.67
dr. mundo,46.27
heimerdinger,44.78
vladimir,52.31
master yi,66.13
lucian,59.02
zac,45.10
maokai,56.00
