opponent_name,champ_sylas
malphite,57.70
akali,51.72
jayce,52.09
irelia,49.96
tryndamere,46.78
yone,52.43
gnar,53.46
fiora,46.03
aatrox,46.95
shen,47.50
sett,45.70
darius,48.81
renekton,52.33
kennen,51.16
garen,47.89
ornn,49.11
gangplank,48.60
teemo,51.81
camille,51.68
jax,49.10
riven,44.95
graves,48.95
gragas,54.59
vayne,46.46
nasus,54.70
yasuo,47.89
tahm kench,46.79
gwen,54.43
illaoi,41.14
sion,47.12
rumble,51.20
viktor,41.79
volibear,49.10
ryze,53.36
mordekaiser,45.35
kayle,49.00
trundle,54.50
yorick,44.44
vladimir,47.09
poppy,48.26
wukong,45.16
dr. mundo,51.33
kled,50.00
warwick,45.45
urgot,38.93
akshan,43.20
quinn,48.39
rengar,46.34
master yi,50.43
cho'gath,55.75
maokai,47.75
singed,53.21
lucian,46.53
zac,45.00
heimerdinger,47.19
sejuani,44.32
cassiopeia,43.75
pantheon,49.18
