opponent_name,champ_urgot
jayce,53.75
aatrox,50.82
irelia,54.94
fiora,50.98
akali,54.39
darius,50.35
yone,50.76
tryndamere,50.29
sett,50.84
garen,54.66
riven,54.77
renekton,53.83
vayne,43.94
gangplank,52.50
malphite,46.29
graves,48.94
teemo,52.45
gnar,50.88
jax,51.96
camille,48.93
nasus,44.21
gwen,56.95
shen,48.42
mordekaiser,51.61
illaoi,50.00
gragas,51.41
sion,46.67
yorick,47.24
kennen,49.08
trundle,49.04
volibear,56.58
ornn,42.66
kayle,44.20
ryze,54.89
sylas,61.07
viktor,47.66
poppy,59.06
warwick,46.22
rumble,58.47
yasuo,58.41
tahm kench,47.32
dr. mundo,51.43
rengar,54.00
quinn,43.43
master yi,66.67
kled,49.44
wukong,45.24
lucian,60.81
akshan,45.71
vladimir,62.12
cho'gath,47.37
heimerdinger,51.92
singed,60.78
